Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Female,---,.,.,DSU,8.6,8.6,DSU,0.0,0.0,DSU,25.4,14.6,DSU,8.4,8.4,DSU,33.7,16.9,DSU,8.2,8.2,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,16.8,11.9,DSU,25.1,14.5,DSU,8.3,8.3,DSU,0.0,0.0,DSU,8.3,8.3,DSU,16.2,11.4,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Ohio,---,.,.,11.3,11.3,1.6,13.7,13.7,1.8,11.3,11.3,1.6,13.0,13.0,1.7,10.8,10.8,1.5,10.5,10.5,1.5,9.6,9.6,1.4,13.6,13.6,1.7,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,76.6,76.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,19.3,19.3,DSU,17.8,17.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,37.9,9.2,DSU,41.8,9.6,DSU,36.9,9.0,DSU,34.5,8.6,DSU,40.2,9.2,DSU,26.8,7.4,DSU,32.5,8.1,44.4,44.4,9.5,---,.,.,---,.,.
                 White,---,.,.,8.3,8.3,1.5,10.1,10.1,1.6,8.2,8.2,1.5,10.7,10.7,1.7,7.6,7.6,1.4,8.8,8.8,1.5,7.0,7.0,1.3,10.2,10.2,1.6,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,16.9,16.9,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,27.2,19.2,DSU,0.0,0.0,DSU,12.4,12.4,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,11.4,11.4,1.6,13.7,13.7,1.8,11.5,11.5,1.6,13.0,13.0,1.7,10.8,10.8,1.6,10.2,10.2,1.5,9.7,9.7,1.5,13.7,13.7,1.7,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,38.2,9.3,DSU,42.2,9.7,DSU,37.3,9.0,DSU,34.9,8.7,DSU,40.6,9.3,DSU,25.0,7.2,DSU,32.9,8.2,44.9,44.9,9.6,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,8.5,8.5,1.5,10.0,10.0,1.6,8.3,8.3,1.5,10.6,10.6,1.7,7.4,7.4,1.4,8.6,8.6,1.5,7.1,7.1,1.3,10.1,10.1,1.6,---,.,.,---,.,.
                 Female,---,.,.,14.4,14.4,2.5,18.3,18.3,2.9,15.0,15.0,2.6,17.1,17.1,2.7,15.2,15.2,2.6,15.5,15.5,2.6,15.4,15.4,2.6,17.0,17.0,2.7,---,.,.,---,.,.
                 Male,---,.,.,DSU,8.0,1.9,DSU,8.9,2.0,DSU,7.4,1.8,DSU,8.7,2.0,DSU,6.3,1.7,DSU,5.4,1.6,DSU,3.6,1.3,10.2,10.2,2.1,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Oklahoma,---,.,.,DSU,10.1,2.8,DSU,11.6,3.0,15.3,15.3,3.4,DSU,12.8,3.1,DSU,12.0,3.0,17.1,17.1,3.6,DSU,9.5,2.6,DSU,10.3,2.7,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,31.2,18.0,DSU,30.4,17.6,DSU,9.9,9.9,DSU,9.7,9.7,DSU,0.0,0.0,DSU,0.0,0.0,DSU,9.3,9.3,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,58.4,58.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,45.0,45.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,11.7,11.7,DSU,22.8,16.1,DSU,33.2,19.2,DSU,43.1,21.5,DSU,10.6,10.6,DSU,63.5,25.9,DSU,30.8,17.8,DSU,20.5,14.5,---,.,.,---,.,.
                 White,---,.,.,DSU,7.4,2.6,DSU,9.2,2.9,DSU,14.6,3.6,DSU,10.8,3.1,DSU,13.5,3.5,DSU,14.3,3.6,DSU,7.9,2.6,DSU,10.6,3.1,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,20.3,20.3,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,10.5,2.9,DSU,12.0,3.1,15.8,15.8,3.5,DSU,12.6,3.1,DSU,12.5,3.1,17.1,17.1,3.6,DSU,10.0,2.8,DSU,10.8,2.9,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,11.8,11.8,DSU,23.1,16.3,DSU,33.7,19.4,DSU,32.8,18.9,DSU,10.8,10.8,DSU,64.7,26.4,DSU,31.5,18.2,DSU,21.0,14.8,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,7.6,2.7,DSU,9.5,3.0,DSU,15.1,3.8,DSU,11.3,3.3,DSU,14.1,3.6,DSU,14.0,3.6,DSU,8.3,2.8,DSU,11.2,3.2,---,.,.,---,.,.
                 Female,---,.,.,DSU,15.3,4.9,DSU,15.2,4.8,DSU,21.0,5.6,DSU,13.4,4.5,DSU,16.3,4.9,DSU,22.0,5.7,DSU,11.5,4.1,DSU,15.9,4.8,---,.,.,---,.,.
                 Male,---,.,.,DSU,4.8,2.8,DSU,7.9,3.5,DSU,9.3,3.8,DSU,12.3,4.3,DSU,7.7,3.4,DSU,12.1,4.3,DSU,7.4,3.3,DSU,4.5,2.6,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Oregon,---,.,.,21.1,21.1,4.0,DSU,10.5,2.8,DSU,11.7,2.9,DSU,9.3,2.6,17.7,17.7,3.5,DSU,11.2,2.8,DSU,12.4,2.9,17.9,17.9,3.5,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,52.1,52.0,DSU,50.3,50.3,DSU,49.0,48.9,DSU,47.9,47.9,DSU,0.0,0.0,DSU,47.7,47.7,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,25.3,25.3,DSU,24.0,24.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,17.0,17.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,148.5,85.8,DSU,94.4,66.8,DSU,0.0,0.0,DSU,44.9,44.9,DSU,41.5,41.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,37.2,37.2,---,.,.,---,.,.
                 White,---,.,.,18.5,18.5,3.9,DSU,8.0,2.5,DSU,11.7,3.0,DSU,8.4,2.5,18.3,18.3,3.7,DSU,11.3,2.9,DSU,13.3,3.1,17.9,17.9,3.6,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,17.6,17.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,12.8,12.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,10.0,10.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,21.3,21.3,4.1,DSU,11.0,2.9,DSU,12.3,3.1,DSU,9.8,2.7,18.0,18.0,3.7,DSU,11.9,3.0,DSU,13.2,3.1,18.5,18.5,3.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,102.8,72.7,DSU,99.0,70.0,DSU,0.0,0.0,DSU,47.7,47.7,DSU,44.2,44.2,DSU,0.0,0.0,DSU,0.0,0.0,DSU,40.7,40.7,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,19.3,19.3,4.0,DSU,8.3,2.6,DSU,12.3,3.2,DSU,8.9,2.7,18.6,18.6,3.9,DSU,12.0,3.1,DSU,14.2,3.4,18.4,18.4,3.8,---,.,.,---,.,.
                 Female,---,.,.,30.0,30.0,6.7,DSU,11.9,4.2,DSU,16.0,4.8,DSU,14.2,4.5,DSU,21.2,5.5,DSU,14.0,4.4,DSU,16.5,4.8,DSU,17.2,4.8,---,.,.,---,.,.
                 Male,---,.,.,DSU,12.2,4.3,DSU,9.0,3.7,DSU,7.4,3.3,DSU,4.3,2.5,DSU,14.3,4.5,DSU,8.4,3.4,DSU,8.3,3.4,DSU,18.7,5.0,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Pennsylvania,---,.,.,11.8,11.8,1.6,14.2,14.2,1.7,12.6,12.6,1.6,11.4,11.4,1.5,14.5,14.5,1.7,12.4,12.4,1.6,10.3,10.3,1.4,13.7,13.7,1.6,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,12.2,12.2,DSU,0.0,0.0,DSU,20.9,14.8,DSU,0.0,0.0,DSU,19.2,13.6,DSU,0.0,0.0,DSU,8.5,8.5,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,37.3,9.3,66.4,66.4,12.3,47.1,47.1,10.3,46.4,46.4,10.1,43.4,43.4,9.7,DSU,36.3,8.8,DSU,33.6,8.4,49.7,49.7,10.1,---,.,.,---,.,.
                 White,---,.,.,9.5,9.5,1.5,8.9,8.9,1.4,9.3,9.3,1.5,7.6,7.6,1.3,11.8,11.8,1.6,9.7,9.7,1.5,8.1,8.1,1.3,10.0,10.0,1.5,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,49.1,22.0,DSU,18.5,13.1,DSU,26.1,15.0,DSU,24.9,14.4,DSU,64.0,22.6,DSU,21.4,12.3,DSU,13.3,9.4,DSU,12.5,8.9,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,11.0,11.0,1.5,14.1,14.1,1.7,12.2,12.2,1.6,11.1,11.1,1.5,13.2,13.2,1.6,12.1,12.1,1.6,10.2,10.2,1.4,13.8,13.8,1.7,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,38.2,9.6,65.8,65.8,12.4,48.5,48.5,10.6,47.8,47.8,10.4,44.7,44.7,10.0,DSU,37.4,9.1,DSU,34.7,8.7,51.4,51.4,10.5,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,8.5,8.5,1.4,8.9,8.9,1.5,8.8,8.8,1.4,7.1,7.1,1.3,10.2,10.2,1.5,9.3,9.3,1.5,7.8,7.8,1.3,9.9,9.9,1.5,---,.,.,---,.,.
                 Female,---,.,.,14.9,14.9,2.5,18.4,18.4,2.7,17.7,17.7,2.7,13.1,13.1,2.3,16.5,16.5,2.6,14.4,14.5,2.4,12.8,12.8,2.2,16.9,16.9,2.6,---,.,.,---,.,.
                 Male,---,.,.,8.6,8.6,1.9,9.8,9.8,2.1,DSU,7.2,1.7,9.6,9.6,2.0,12.3,12.3,2.2,10.2,10.2,2.0,DSU,7.7,1.8,10.4,10.4,2.0,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Rhode Island,---,.,.,DSU,12.7,5.7,DSU,5.0,3.5,DSU,12.1,5.4,DSU,14.1,5.8,DSU,13.9,5.7,DSU,4.6,3.3,DSU,9.2,4.6,DSU,4.6,3.3,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,484.7,484.6,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,128.5,128.5,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,49.9,49.9,DSU,47.7,47.7,DSU,0.0,0.0,DSU,0.0,0.0,DSU,42.8,42.8,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,10.9,5.5,DSU,2.7,2.7,DSU,10.4,5.2,DSU,12.8,5.7,DSU,15.1,6.2,DSU,5.0,3.5,DSU,7.5,4.4,DSU,5.0,3.6,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,90.5,64.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,34.4,34.4,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,8.1,4.7,DSU,5.3,3.7,DSU,12.9,5.8,DSU,15.1,6.2,DSU,12.5,5.6,DSU,5.0,3.5,DSU,10.0,5.0,DSU,5.0,3.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,61.7,61.7,DSU,59.0,59.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,53.2,53.2,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,5.8,4.1,DSU,2.8,2.8,DSU,11.0,5.5,DSU,13.6,6.1,DSU,13.4,6.0,DSU,5.4,3.8,DSU,8.1,4.7,DSU,5.4,3.9,---,.,.,---,.,.
                 Female,---,.,.,DSU,14.8,8.6,DSU,9.7,6.9,DSU,9.4,6.6,DSU,18.3,9.2,DSU,22.6,10.1,DSU,0.0,0.0,DSU,13.4,7.8,DSU,4.5,4.5,---,.,.,---,.,.
                 Male,---,.,.,DSU,10.4,7.4,DSU,0.0,0.0,DSU,14.9,8.6,DSU,9.7,6.9,DSU,4.8,4.8,DSU,9.5,6.7,DSU,4.8,4.8,DSU,4.7,4.7,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:South Carolina,---,.,.,14.5,14.5,3.1,18.1,18.1,3.4,18.2,18.2,3.4,20.9,20.9,3.6,17.8,17.8,3.3,16.9,16.9,3.2,24.8,24.8,3.8,16.7,16.7,3.1,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,146.5,146.4,DSU,149.5,149.5,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,53.7,53.7,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,39.3,9.8,DSU,31.2,8.7,DSU,43.7,10.0,53.6,53.6,10.9,DSU,31.3,8.4,DSU,37.9,9.2,DSU,39.4,9.3,42.7,42.7,9.5,---,.,.,---,.,.
                 White,---,.,.,DSU,5.5,2.2,DSU,13.5,3.5,DSU,8.8,2.8,DSU,8.7,2.7,DSU,12.1,3.2,DSU,8.5,2.7,19.1,19.1,4.0,DSU,7.3,2.4,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,14.7,14.7,3.1,18.4,18.4,3.5,18.5,18.5,3.4,21.3,21.3,3.6,18.2,18.2,3.4,17.3,17.3,3.3,25.4,25.4,3.9,17.1,17.1,3.2,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,39.5,9.9,DSU,31.4,8.7,DSU,43.9,10.1,54.0,54.0,11.0,DSU,31.5,8.4,DSU,38.2,9.3,DSU,39.7,9.4,43.0,43.0,9.6,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,5.6,2.3,DSU,13.7,3.6,DSU,9.0,2.8,DSU,8.8,2.8,DSU,12.4,3.3,DSU,8.7,2.7,19.6,19.6,4.1,DSU,7.5,2.5,---,.,.,---,.,.
                 Female,---,.,.,DSU,19.1,4.9,DSU,23.8,5.5,26.7,26.7,5.7,30.9,30.9,6.1,DSU,22.7,5.2,24.6,24.6,5.4,29.8,29.8,5.8,DSU,16.7,4.3,---,.,.,---,.,.
                 Male,---,.,.,DSU,9.5,3.6,DSU,12.0,4.0,DSU,9.1,3.4,DSU,10.2,3.6,DSU,12.7,4.0,DSU,8.7,3.3,DSU,19.6,4.9,DSU,16.7,4.5,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:South Dakota,---,.,.,DSU,22.1,9.0,DSU,7.3,5.1,DSU,21.4,8.7,DSU,10.6,6.1,DSU,14.1,7.0,DSU,13.7,6.9,DSU,10.1,5.9,DSU,16.8,7.5,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,63.2,63.2,DSU,0.0,0.0,DSU,115.9,82.0,DSU,0.0,0.0,DSU,57.4,57.4,DSU,0.0,0.0,DSU,54.2,54.2,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 White,---,.,.,DSU,19.8,8.8,DSU,7.8,5.5,DSU,15.4,7.7,DSU,11.4,6.6,DSU,11.4,6.6,DSU,14.9,7.4,DSU,7.3,5.2,DSU,18.2,8.1,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,22.3,9.1,DSU,7.3,5.2,DSU,21.6,8.8,DSU,10.7,6.2,DSU,14.2,7.1,DSU,13.9,7.0,DSU,10.3,5.9,DSU,17.0,7.6,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,19.9,8.9,DSU,7.9,5.6,DSU,15.5,7.8,DSU,11.5,6.6,DSU,11.5,6.7,DSU,15.1,7.5,DSU,7.4,5.2,DSU,18.4,8.2,---,.,.,---,.,.
                 Female,---,.,.,DSU,29.6,14.8,DSU,14.6,10.3,DSU,28.7,14.4,DSU,14.1,10.0,DSU,0.0,0.0,DSU,20.8,12.0,DSU,13.6,9.6,DSU,27.1,13.6,---,.,.,---,.,.
                 Male,---,.,.,DSU,14.7,10.4,DSU,0.0,0.0,DSU,14.2,10.0,DSU,7.0,7.0,DSU,27.9,14.0,DSU,6.8,6.8,DSU,6.7,6.7,DSU,6.6,6.6,---,.,.,---,.,.
                 Less than high school,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 High school graduate,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 At least some college,---,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
              STATE:Tennessee,---,.,.,9.1,9.1,2.0,18.9,18.9,2.9,14.1,14.1,2.5,15.2,15.2,2.6,13.3,13.3,2.4,12.7,12.7,2.3,13.3,13.3,2.3,13.1,13.1,2.3,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,128.8,128.8,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
