Focus area: 24-Respiratory Diseases - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 data,1998 raw value,1998 se,1999  data,1999  raw value,1999  se,2000  data,2000  raw value,2000  se,2001  data,2001  raw value,2001  se,2002  data,2002  raw value,2002  se,2003  data,2003  raw value,2003  se,2004  data,2004  raw value,2004  se,2005  data,2005  raw value,2005  se,2006  data,2006  raw value,2006  se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-1a Deaths from asthma - Children (per million population, aged under 5 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 White,---,.,.,DSU,.,.,DSU,14.4,10.2,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,17.6,10.2,DSU,5.8,5.8,DSU,.,.,DSU,.,.,DSU,.,.,DSU,11.7,8.3,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,26.0,26.0,DSU,25.7,25.7,DSU,.,.,DSU,.,.,DSU,.,.,DSU,52.1,36.9,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,15.5,11.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,33.7,19.5,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,10.7,10.7,DSU,.,.,DSU,.,.,DSU,.,.,DSU,20.9,14.8,DSU,.,.,---,.,.,---,.,.
              STATE:California,---,.,.,DSU,1.2,0.7,DSU,1.6,0.8,DSU,2.0,0.9,DSU,2.0,0.9,DSU,2.8,1.0,DSU,2.3,0.9,DSU,2.2,0.9,DSU,1.5,0.7,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,3.7,3.7,DSU,0.0,0.0,DSU,0.0,0.0,DSU,7.1,5.0,DSU,3.6,3.6,DSU,3.4,3.4,DSU,0.0,0.0,DSU,0.0,0.0,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,4.7,4.7,DSU,9.5,6.7,DSU,9.5,6.7,DSU,9.7,6.8,DSU,10.2,7.2,DSU,10.3,7.3,DSU,20.8,10.4,DSU,4.9,4.9,---,.,.,---,.,.
                 White,---,.,.,DSU,0.5,0.5,DSU,1.0,0.7,DSU,1.5,0.9,DSU,0.5,0.5,DSU,2.0,1.0,DSU,1.4,0.8,DSU,0.9,0.7,DSU,1.4,0.8,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,0.8,0.8,DSU,2.5,1.4,DSU,0.8,0.8,DSU,2.4,1.4,DSU,1.5,1.1,DSU,0.7,0.7,DSU,2.2,1.3,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,2.3,1.3,DSU,2.3,1.3,DSU,1.5,1.1,DSU,3.0,1.5,DSU,3.1,1.6,DSU,3.0,1.5,DSU,3.7,1.7,DSU,0.8,0.8,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,5.4,5.4,DSU,10.9,7.7,DSU,5.4,5.4,DSU,10.8,7.6,DSU,11.3,8.0,DSU,11.2,7.9,DSU,22.3,11.1,DSU,5.6,5.6,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,1.1,1.1,DSU,1.2,1.2,DSU,1.2,1.2,DSU,1.2,1.2,DSU,1.2,1.2,DSU,1.2,1.2,DSU,1.2,1.2,DSU,0.0,0.0,---,.,.,---,.,.
                 Female,---,.,.,DSU,0.0,0.0,DSU,0.8,0.8,DSU,1.6,1.2,DSU,0.8,0.8,DSU,1.6,1.1,DSU,0.8,0.8,DSU,0.8,0.8,DSU,1.5,1.1,---,.,.,---,.,.
                 Male,---,.,.,DSU,2.3,1.3,DSU,2.4,1.4,DSU,2.3,1.3,DSU,3.1,1.5,DSU,3.8,1.7,DSU,3.7,1.7,DSU,3.6,1.6,DSU,1.5,1.0,---,.,.,---,.,.
              STATE:Colorado,---,.,.,DSU,.,.,DSU,3.4,3.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,2.9,2.9,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,.,.,DSU,3.8,3.8,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,3.3,3.3,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,.,.,DSU,12.4,12.4,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,9.6,9.6,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,.,.,DSU,6.9,6.9,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,6.0,6.0,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,0.0,0.0,DSU,.,.,---,.,.,---,.,.
              STATE:Connecticut,---,.,.,DSU,4.5,4.5,DSU,.,.,DSU,4.5,4.5,DSU,4.5,4.5,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                    Asian,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander,---,.,.,DNC,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,DNA,.,.,---,.,.,---,.,.
                 Black or African American,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,31.4,31.4,DSU,31.5,31.5,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 White,---,.,.,DSU,5.5,5.5,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Hispanic or Latino,---,.,.,DSU,30.6,30.6,DSU,.,.,DSU,29.4,29.4,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Not Hispanic or Latino,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,5.3,5.3,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    Black or African American, not Hispanic/Latino",---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,35.1,35.1,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
"                    White, not Hispanic or Latino",---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,0.0,0.0,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Female,---,.,.,DSU,9.2,9.2,DSU,.,.,DSU,0.0,0.0,DSU,9.1,9.1,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Male,---,.,.,DSU,0.0,0.0,DSU,.,.,DSU,8.8,8.8,DSU,0.0,0.0,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
              STATE:Delaware,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 American Indian or Alaska Native,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
                 Asian or Pacific Islander,---,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,DSU,.,.,---,.,.,---,.,.
